,label,text
56,1,"I'm an Indian and this is none of my concern but still I would like to put 
up my view point that after hearing them both I feel sad for Americans, 
both are huge liars and trying very hard to convince you people to vote, 
Hillary Clinton is just a little less of an evil. 
I wish you guys could have Obama back."
57,0,"Trump and his doctrine of hate, racism, bigotry, and hypocrisy are not good 
for anybody. He is corrupting peoples mind, just lying, fearmongering, and 
deceiving the fools."
58,2,"Trump may have lots of money, but he is an idiot, an ignorant, and a big 
liar sorrounded by racist, bigots and evil people just like himself."
59,2,"WOMEN WERE PAYING MORE before ObamaCare??? WHY!!! Again in a patriarchial 
society where do us as women survive? This man is a mysognist how can 
people vote for him"
60,0,go trump
61,2,she won this and will win tonight!
62,2,What's isis got to do with him being a rapist
63,0,"We are fuked! That trump is nothing but a big fraud and a man full of lies 
and hate."
64,1,"would any young ladies out there like a bill clinton cigar treat...don't 
worry ...hillary wont mind...or would you prefer some trump octopus 
hands...i hear hillary talking about what trump does to women...just ask 
yoko ono what hillary does to women...america had better wake up 
NOW...neither of these can become president and you know it..."
65,2,"Probably the most disgusting human being for president in the history of 
human kind."
66,2,no I'm sad Hilary lost😧😧😧
67,1,"HILLARY FOR PRESIDENT! I don't see how there's even any kind of choice 
involved: it's either an experienced, intelligent human being for president 
or a moronic, appalling disgrace!"
68,2,"Wow. I've been researching Hillary a lot lately and while I do deeply 
believe in her good side, I must say that after just recently having looked 
into the rape case Donald mentions here in which she indeed successfully 
defended a rapist and got him off the hook although she knew that he was 
guilty, I find that to be the most important and convincing reason to speak 
against her as a person and most importantly speaks against her as being a 
politician. I'm not saying there isn't enough that speaks against the same 
things in Trump's case. 
But standing there and calling him out on something he's supposed to 
apologise for (he definitely is!) while at the same time not having the 
mere guts to apologise to the rape victim is just such a low of character, 
I don't have any words for that.
I may not be an American citizen so I don't actually have a say in that but 
as a human being I am just sick and tired of this kind of politicians. 
Pointing fingers at everyone for their misbehaviours instead of standing up 
straight, trying to be a good person, being moral and saying when they're 
wrong, admitting to their mistakes and first and foremost BEING HONEST. 
That's what a strong leader is for me. It's one who is truthful and real 
and upright."
69,2,"VOTE HILLARY!!!! Raise minimum wages, expand Obama-care, first female US 
President and THERMO-NUCLEAR WAR WITH RUSSIA!!! YEAH!!!"
70,0,"I have a serious question, can anyone that is a Trump supporter please 
explain to me how you take him seriously?"
71,1,"Side note: As a Brit looking at America from the outside the rise of Donald 
Trump is shocking. He wants tax cuts for the very rich, he is clearly anti 
hispanic, has clear contempt for women and minorities, loathes the 
President and loves Putin and Russia.

He has no clear policies, lies constantly, talks like a child, has a quick 
temper, cannot take criticism, holds a grudge, is revengeful, spiteful , 
narcissitic and aggressive.................and yet this race is 
competitive. If character means anythng to Americans it should not be.

Hillary Clinton is not without her flaws but in every area as shown in this 
debate she is superior to Donald Trump.

Do the right thing America................elect Hillary Clinton as your 
President. 

PS:The fact she is a woman is an added bonus.."
72,2,"Why arm the kurds .-. giving guns to a foreign country for the sole purpose 
of making things right is nonsense. Not to even mention the american people 
paying taxes to light up conflict they don't even understand. Is it another 
ruse to get cheaper oil ? Go build hospitals and schools instead."
73,2,"What an Idiot!!! If he will be elect, US are the stupiest Nation on Earth.
 P.S. :Now they are!!!"
74,2,"Are you ready to get nuked, americans? Well you better be, fucktards. 
Saythanks to Nuland. Never forget. Never forgive. From Russia with love."
75,2,"TRUMP IS MORE HUMBLED ON THIS DEBATE ..THAN ON THE 1ST DEBATE... MAYBE 
BECAUSE IN THIS SECOND DEBATE TRUMP WAS DEBATING IN FRONT OF A WHITE MAN 
AND WHITE WOMAN..... ON THE FIRST DEBATE ..THE DEBATE WAS IN FRONT OF ONLY 
ONE  BLACK MAN AND HE SHOWED VERY LITTLE RESPECT! HE WOULDN'T EVEN SHUT UP 
WHEN TOLD HIS TIME WAS UP...BUT ON THIS DEBATE THEY MADE BOTH OF THEM HUSH 
UP.."
76,1,Voted for Hillary today
77,2,"Trump is an idiot, a racist, a sexual predator and a very digusting human 
being. This time we have gone too far and too low now."
78,2,"Americans if President Clinton, it will be a war in the world, she was sick 
in the head, in Ukraine now there is a war, thanks to America its power in 
Ukraine war gave Obama, Russia is not the aggressor, it is not not attack 
anyone, it's all Obama does that the circle is a war, make the right 
choice, only Trump will be peace in the world"
79,2,"Trump is like those charlatans who lead cults for idiots. Nothing but a 
bigh fraud, a racist, and a sexual predator."
80,1,Trump is going down !!! Hillary u goooooooo upppppppp
81,0,trump is bad for president
82,0,"Trump is just women abuser and an idiot with no wisdom. All minoritys and 
all womem must reject that charlatan."
83,1,HILLARY CLINTON FOR PRESIDENT
84,2,"H E L P!!!!!! I don't know who to vote for... but I think Trump would be a 
better president. I realize, America its not the same anymore. At the same 
time, they always gone do a lot of things then they don't do it."
85,2,"Trump I am from Kuwait and so far you are really annoying the hell out of 
me I am not an American but dude you really oughta actually do your 
research cause not all of us are terrorists only 5/100000000000 are 
actually terrorists Islam is a telefilm that believes in peace ISIS is NOT 
ISLAM"
86,1,"This is terrible, should the country be like Trump thinks? Women are the 
future, who the hell can say anything else?! Hillary as a woman has a 
better perspective. For Hillary!!"
87,2,"Finaly we got the sexual predator and the racist we a have always been 
dreaming of! I guess we all can say that justice has been done."
88,2,"as hes looking in the camera at 10:25 his eyes get bigger and bigger and 
darker, its so demonic .."
89,2,Batman will vote for Martha.
90,1,I want hillary clinton to win
91,1,"Hillary would be a better president. She is smartly kind. even her husband 
was a president of the USA for 8 years, not even a single racism or 
division occurred. Therefore she is trustworthy. BTW, she killed Bin-ladin 
and Qaddafi for a purpose, it is because both of them caused alot of 
corruption on land and both of them killed millions of innocent lives. 
Hillary, always hillary is better choice"
92,2,"I hate Hillary Clinton , she has a huge head like a lion.
Her head is too big for her tiny old grandmother body.
@ 2:54 she doesn't have the look of a president she looks like an old 
grandmother
(I know that she is a grandmother) she's an old woman who is trying to act 
like a younger woman but it isn't working because she looks ridiculous.
Obama, has the look of a president , I think. 
Hillary doesn't , Trump doesn't either.
Why don't they set an age limit for being president , that way it will stop 
senior citizens like Trump and Hillary from trying to be president.
@ 3:43 Trump doesn't even know how to hold a microphone correctly."
93,0,trump won legaly?
94,2,"OMG
I live in Germany and i am so scared about Trump!! He said so Bad things 
Wtf !!! Why did YOU choose him?? Im very scared and my family too. Sorry 
for Bad english.😁😩"
95,0,"20:10 ""It's just awfully good that someone with the temperament of Donald 
Trump is not in charge of the law in this country."" LMAO. Open mouth, 
insert foot."
96,2,"Whats wrong with the Americans those two kandidates are a HUGE step back 
compared to Obama
And by the way they are both very unsympathetic ^^"
97,1,"Do you think Hillary Clinton should've won this sign this petition that can 
push the electoral collage vote and go with the popular vote and on 
December 19 we can push this dude outta here link down below 
https://www.change.org/p/electoral-college-electors-electoral-college-make-hillary-clinton-president-on-december-19?source_location=topic_page
"
98,0,"yo trump, I would like you but you want to block me from tacos"
99,2,"Why isnt this political debate about politics? We're focusing on who's a 
better person when we should be focusing on laws and projects.I mean its 
just weird , they bring each other down and try to show their adversary is 
more evil. What the heellll is thhhatt"
100,1,"It was disgraceful of Hillary to call Trump a racist for daring to question 
the legitimacy of Obama's birth certificate. What did race have to do with 
that?"
101,1,"Trump roasted Hillary, every single response."
102,2,14:47 A fly lands on Hillary's face because flies like bullshit.
103,2,"""Cause you'd be in jail."""
104,0,The reported/host seems like she hates Donal trump
105,2,1:24:50 is where Ken Bone is thank me later
106,2,The Moderator is biased
107,2,"1:29:38 - That guy really put Trump and Clinton on the spot with that 
question. Dude, you are the debate's real MVP."
108,2,"""BECAUSE YOU'D BE IN JAIL"" *Mic drop*"
109,0,"anyone else came here just to read all the comments saying trump will never 
win? haha"
110,2,I enjoy watching these now that he's won. Killed it on the 2 last debates
111,0,I VOTED FOR DONALD TRUMP
112,0,"I really do not like donald trump.. I hate him, but every time trump wants 
to respond to clinton this stupid blog bitch is interrupting him. This is 
not fair.."
113,2,That fly that landed on Hilary is doing the fly nation proud..
114,0,"I feel like Trump and Hilary are two divorced parents fighting over custody 
of us, but we kinda just wana go live with grandma."
115,1,"from the first moment Hillary started talking I felt like I'm watching a 
movie with a usual pretentious wannabe."
116,1,"Hillary looked SO smug throughout the campaign... How embarrassed must she 
be now?"
117,2,"Do you think Russia is the problem? Russia is not the issue here. Terrorism 
is! Frankly, that is the dumbest thing I've ever heard. War kills, people 
have to die. But to stop this war, more people will die. It's a simple 
fact. People die! And they will continue to die, but those people are dying 
for the greater good of humanity. If Russia didn't bomb Syria then ISIS 
would have even more power. Does anyone want that?"
118,2,Anderson is very biased. The woman moderator is worse.
119,2,"Can Hillary stop saying ""America is Great because America is Good"" has she 
no idea how retarded that sounds?"
120,0,"Trump ate this ""B"" for lunch. She is such a liar (and a bad one)."
121,2,"Everyone loves Clinton when she speaks. Why? Because when she speaks she 
talks about things everyone would agree with.

""We are going to empower everyone"". ""We are going to fight against Cancer."" 
""We are going to help the middle class"" 

She is a politician. She says broad statements that any normal person would 
agree with. 


Trump is unpopular because he speaks the truth. A lot of people don't want 
to hear the truth. It sometimes is unpleasant. But that whats makes Trump 
such a winner, and a true leader- willing to do the right thing, even if 
its very unpopular."
122,1,"Trump scares me, but Hillary's fake smiles scare me just as much, good luck 
America (o_O)\
/ |
|
|
/ \"
123,2,I'm here for Ken bone
124,2,I'm not even American and I'm still watching it😹
125,2,I would rather have Obama for another 4 years
126,2,"TRUMPS WINNING, LIBERAL TEARS"
127,1,14:49 there's a fly that lands on Hillary Clinton's face right..?
128,2,"Isn't there 300,000,000 Americans?
And these are the best 2? :/"
129,1,Hillary's poll numbers are dropping faster than her husband's pants!
130,2,"I can see many Hillary supporters in the comments, well I have a question 
for you people, how would you feel if ww3 started, she openly said that on 
tv, that she want war with Russia, how do you feel right now, that maybe 
next year, a nuke will be dropped on New York, Washington DC, Los Angeles, 
not only american cities of course, Moscow, Berlin, Belgrade, Paris, how do 
you feel about that?"
131,0,"Donald Trump is better than Hillary Clinton, I'm listening both of them, 
Donald Trump open man"
132,1,Hahahhahhha Hillary took that L
133,2,"if Clinton becomes president, will be a third world war, you Americans want 
it?"
134,2,"Goodness, Internet Explorer took a bit longer than expected. I'm just happy 
Jimmy Carter is finally president."
135,2,"20:16 Donald, please follow through with this. You would make so many 
people happy."
136,0,i predict Donald trump wins
137,1,"I thank God Trump won. Hillary would have brought total destruction to the 
USA."
138,0,"I love how when Trump speaks when he's not supposed to or goes over his 
response time the moderators dont shut up just going ""Mr Trump!"" Over and 
over but when Hillary does it its one ""Secretary Clinton"" like every 10 
seconds"
139,0,"Anyone with a brain can see that Donald makes zero sense during his 
speeches, often gliding away from the topic.
Likewise, none of his many words are backed by fact. From the looks of 
FactCheck.org, investigators usually debunk his statements with 
kindergarten ease.
Yet, Trump makes a lot of noise and gives the illusion that he’s 
ahead of the game. It confuses his supporters as well as his opponents.
Read more at 
http://www.inquisitr.com/3630379/jane-goodall-donald-trump-analysis/#byKyFhHMeD5AdCBy.99
"
140,2,to be honest i only watched this because of SNL
141,1,"Simple question. Would you vote for Laura Bush? Barbara Bush? Nancy Reagan? 
Rosalynn Carter? Pat Nixon? Mamie Eisenhower? Mary Lincoln? Martha 
Washington? Why would anyone vote for an ex-President's wife to become 
President? All nice people in their own way but it doesn't qualify them to 
run for President. Hillary Clinton running for President is beyond 
ridiculous. The only Countries where wives of a former National leader 
""take over"" are monarchies, dictatorships or banana republics. America is a 
republic. Even voting for Hillary Clinton will classify the US as a 
dictatorship or a banana republic."
142,2,"It´s unbelieveble how much more mature Hilary is than Donald. He really has 
to work on his anger issues, so immature....."
143,2,So what does JayZ and his ilk mean when they insult women?
144,0,hahaha Trump is owning
145,2,MAKE AMERICA GREAT AGAIN!!!!!!
146,0,"mr.trump did you abuse women ?
Trump:yes, I will get rid of the IS and help America
🤓"
147,2,was there a fly in the debate!? or is this just me
148,2,"""Cause you'd be in jail"" hahaha"
149,2,"I want Hillary to win. I am anti-american. World needs WWIII. USA needs to 
be broken up or at least weakened (along with their Islamic attack dogs), 
if world peace is to be achieved. As a person who actually understands 
geopolitics and history, there is no other way.
World should gear up and support Russia. China isn't fit for this job. Like 
it or not, USA is destined to go down. Traction gained by Bernie Sanders is 
proof that USA is a sunset empire. The world can either choose to go down 
with it, or prepare for the new sun.
Yes, even with Trump, USA will go down. But he won't lead the world to 
WWIII, which would mean USA may live to fight another day(meaning century). 
USA can't be left alive."
150,2,Those news hosts were biased towards Clinton.
151,2,"can he stop breathing so hard into the microphone and interrupting in a 
debate? Wow! Why keep making childish remarks? This is ridiculous... he is 
making my IQ drop...."
152,1,Am I the only one who saw that fly on hillary's face?
153,2,I'm here to get into the bone zone.
154,2,Ken Bone 1:24:47
155,0,Donald trump roasted her ass 🔥
156,0,"Shout out to all Non Americans who are watching the US Debates just to see 
Donald Trump get humiliated by a girl."
157,2,"America is NOT great it hasnt been great since the bushes and clintons made 
it a disgrace Its a shame because america was the country everyone wanted 
to be like but now it is hated over the world. Hilary has been intimidating 
women for her husband for years Bill Clinton raped and sexually assaulted. 
Trump is right in what he is saying the clintons are the biggest predators 
also look at what trump said 11 years ago is it really that big a deal when 
you see whats going on in the world, Hillary just said when they go low you 
go high then she went even lower she is a witch and not just as a 
description she is a true witch she does not believe in God she is a 
wiccan, she is more disgusting than Trump"
158,2,was that a fly on her face at 14:55?? lmao she is lying
159,2,"I'm not even American but a black African, I would advise Americans to vote 
for Donald than Hilary because she's selfish, greedy and a murder! people 
are so blinded by racism and feminism and all that but is that the main 
problem? and Hilary as a woman is racist and only cares about her pocket 
everyhing she says is for show! as she claims she has two personality..this 
is on camera...If Hilary Clinton becomes the next president, it's the of 
America ...and the world I be honest, she wants WW3 like its a joke...coz 
that would destroy humanity and existence...PEACE, may God guide you"
160,2,the sun creats enough energy to power the world for a year in 50 minutes
161,2,are Americans that stupid? why would any of you vote for Trump?
162,2,Either way I'll have a show to watch when one of them become president. :]
163,2,clinton all the way <3
164,0,"disgusting martha ratshit starts debating trump !!??...right !...no media 
bias here..."
165,2,"Thank god I'm European, although a lot of our politicians are just as bad 
but my main concern is I don't think either of these candidates are up to 
the job of president, I can't see Trump being the diplomatic president, he 
opened a golf course in Scotland and because a man wouldn't move his home 
he insulted him built a fence around his property and tried to bill him for 
it.
Clinton does not come over as a strong personality the president has to 
show strength and intelligence a firm but fair personality, Clinton does 
not show that."
166,0,For some reason I ship Hilary and Trump. Trumilary RULES
167,0,"Ya so I ordered a flight to canada for November 8 just in case trump wins. 
oh and they should have sponsored the debate by air Canada"
168,2,"While I'm no fan of Hillary, I got sick of hearing her talk. I don't belive 
she will effectively get rid of ISIS ASAP. All talk. Not that I trust Trump 
anymore but with all this terrorism we need someone to deliver the hard 
blows."
169,1,"Hillary has discussed the e-mails and everything else, but he avoids all 
the dirty, dirty questions addresses to him. ANSWER! You have five days, 
Trump. CLINTON FOR PRESIDENT!"
170,2,"I don't need to apologize for talking about sexually assaulting women but 
damn it Hillary you better apologize for a private server."
171,0,trump is dumb
172,0,When in the video did Donald trump say Hilary should be in jail?
173,2,"Trump is a criminal, a sexual predator, a racist, and a big crook."
174,0,"keep Hilary for culture and development.. keep trump for security. I hate 
both of them though"
175,2,"Donald has some truth cause he knows how bad she is but he is no better so 
no America pick your doom D.T or H.C you either vote for a racist psycho 
that hates Muslims and Mexicans or you go for Hilary who caused the leakage 
of government secrets cause she was lazy enough not to use the encrypted 
email and many people that try to sue her or tell the truth about her are 
either dead or murdered and now all of America is going to experience 
ARMAGEDDON
oh and each time a question is asked to either of them they talk minutes of 
bullshit which translates to 4 words"" we're gonna fix it"""
176,0,HI. TRUMP IS A RAPIST!
177,1,"If. Trump gets To be President The twin towers are coming back that every 
body looked up to and. If Hillary. Gets picked. She. Going to kick all the 
Russians. Out wat a freaking racist"
178,0,"2016 Trump .,.. India welcomes our new President with heart of joy Every 
Hindu is behind Donald Trump .... This Time Donald Trump Goverment love 
From India ..."
179,2,"doesn't matter if Clinton or Trump wins; I can feel the next revolution 
about to start lol"
180,2,"25:18 lol going to miss these two being so petty to each other. They would 
make such a cute old couple"
181,2,I am a badass
182,2,hilery got my vote
183,2,What Your All Here For 1:24:42
184,2,"Nobody needs an idiot, a racist and sexual predator like trump for 
president."
185,2,omfg just realized that she isn't technically the nominee
186,0,TRUMP TRUMP TRUMP
187,1,13:10-14:40 Donald Trump trapped Hillary Clinton in a corner.
188,1,"Hillary is sexy........ but, Trump is so Crazy ........"
189,2,"Seriously it's nasty how Donald trim is so rude I'm litterly disgusted of 
him😡😏😒😠"
190,2,"Trump is an idiot and a sexual predator. He is also a traitor who is in 
love with that dictator putin."
191,2,"I want to do a poll here. So only 1 question and its ""How many use to write 
bad things about Trump and say I'll never vote for him... BUT are now on 
Trumps side"""
192,1,Hillary 2016
193,2,"So ""Make America Great Again"" well America would be the first country to 
lose all of their allies, and Clinton will loose her own country men and 
women's trust. America is a country truly a country to look up to 
(sarcastically speaking)."
194,2,"when result of this elections come ,anybody knows ?"
195,2,😒😒😒😒😒😒 BILL CLITON ISN'T RUNNING FOR PRESIDENT
196,1,I am American girl I hope Hillary win 🙏
197,2,"like George Washington said, All of us is created equal, in my opinion I 
agree with that but it depends on how you see it."
198,2,wtf he said that straight in front of bill Clinton??? hahahahahahahhaha
199,2,SHE GOT SCHLONGED !
200,2,"She Came, She Lost, We Laughed"
201,0,I'm glad Trump got the last laugh on these despicable libtards
202,1,Trump crushed Hillary
203,1,"If Hillary gets elected, I'm moving to Switzerland."
204,2,"Where's Negan, with Lucille when you need'm?"
205,2,"A big fat fly landed on the White of Clintons top,  at 1:24:05 I thought it 
was a tiny bug on my i phone screen."
206,1,"The people who voted for Trump and Hillary are the same people who cried 
over a Gorilla for 6 months"
207,2,you won the coin toss so u go first oh so professional lol 😂😂😂
208,1,"Donald allowed them to attack him 3 times on the video and then he took the 
gloves off and kept them off for the rest of the debate. Now America will 
find out who Jon Podesta is and the involvement of Hillary / Bill in the 
Jeffery Epstein Island . The flight manifest shows 26 trips by Bill to that 
Island and 6 for Hillary. What will the people say then? What will they say 
about the satanic cult Hillary is active in? What will they say when they 
find out about the children who were kidnapped and flown to that island , 
tortured , raped , and then sacrificed . What will people say when they 
find out that the ocean that surrounds that island is a shark infested 
child grave yard?
Julian Assange is releasing this data now... Not even the mainstream media 
will be able to stop it now. This data was not given to wikileaks by the 
Russians, It was given by a group of patriots that still exist within our 
own intelligence community who have been working directly with Julian 
Assange. This information will spread like a aggressive cancer for all the 
world to see. Perhaps then , the people will see that America just dodged a 
bullet aimed straight at their hearts!"
209,2,"This was the dirtiest, most biased, one-sided debate I've ever watched."
210,0,Snake face got owned! Trump is our new emperor 😊
211,0,Trump will go after her once he is in office. She is such a liar!
212,2,"Trump is a big mistake and the wrong way. No racist and no women abuser can 
be good president. Trump is also a big charlatan and a big crook."
213,2,she had the questions before hand. It's been proven.
214,2,3 vs 1
215,2,"omg wt lies she says wow
lol i cant beleave it omg"
216,2,They're still counting the votes on THE CLINTON NEWS NETWORK...... haha!!
217,1,"Nope. Hillary also saw the questions. CNN should never be allowed to host 
or even participate in a debate ever again."
218,2,"Trump is at least talking practically, logically, arguing with some valid 
points. HC is just seen talking about values and feelings all the time and 
using the age old its-the-russians excuse. Her lie was kind of evident when 
she attacked wikileaks. I even sense her smile is fake. You really think if 
US destroys syrian homes and lets syrians in, they will not annex the US 
from inside at some point , and will embrace with open arms to help US 
attack middle east again for the oil ?"
219,2,is the best of America feeling better today?
220,1,"hillary spoke pretty fast at first,but she soon got tired,she doesnt have 
the energy for any tough job anymore.well done AMERICA,you've made the 
right choise."
221,2,"In her first sentence this woman lied, saying ""Only we have seen the 
questions."""
222,0,Trump won the debate big league
223,2,"God, that announcer lady is so annoying and her voice sounds like she wants 
to cry."
224,2,"Blatant lies. The questions were developed in collusion with Hilary's 
campaign. Wikileaks proved it. Can't trust any alphabet media anymore."
225,2,The main reason she lost is the guy that sits in the Oval Office.
226,2,happened on my #21 birthday..
227,2,"The way that Clinton talks as if you are a small child, and that fake 
laugh, is what makes me think that it was all an act. These people are 
truly not there for the people, they only need them for the votes and after 
that you are out of luck."
228,1,"15:15 crowd clapped for Hillary, moderator didn't tell them not to, 
interesting, meanwhile 3 seconds prior the crowd clapped for Trump they say 
don't"
229,2,"oh god this trash is killing me, why do i poison myself?"
230,2,"Are these two delusional about changing things for the better, or are they 
lying to the people naive enough to believe them?"
231,2,I can't believe she brought up Mohammed Ali.
232,0,"i voted for trump because hes a straight up honest man.. unlike the crook 
who cant hop off the bus talk and stick to politics"
233,2,"18:40 That animal wasn't smiling on November 9th! 20:13 What a comeback 
line!!!"
234,2,"@24:18

Sums up Hillarys/Democrats entire attitude during the entire elections, how 
wrong they were, the only thing falling apart right now is the democratic 
party."
235,2,"Lol just funny the way he keeps dodging Anderson's insistent questions 
about sexual assault. Yes, I have certainly seen his great respect for 
women😢"
236,2,😆😆☺😊😀😁😃😄😅😮😴😢
237,2,"Notice how she keeps standing in front of him? The media attempted to 
portray this as him stalking her, it clearly was her moving across the 
stage and crowding him out. I suspect this was a deliberate strategy."
238,1,"18:46 I hope he actually gets a special prosecutor to take care of Hillary. 
She needs to pay for her crimes!"
239,2,"They are litteraly not fully answering the questions and just have to make 
it sooo long by saying what they want to do instead to the country."
240,2,"She made the mistake of thinking people wanted to hear plans and 
implementation schemes. Basically if you can't be trusted you can talk all 
day and the outcome is still you can't be trusted. And she has the track 
record in politics, so America rolled the dice."
241,2,When you already know the questions and still get destroyed xD
242,2,"Hillary calling Donald out on doubting that Obama was born in America, yet 
it was her campaign that started that entire birth thing back in 2008... 
This woman will say anything."
243,2,THE FLY was attracted Hillsh.t
244,1,hillary clinton is a liar and donald trump is crazy (๑°⌓°๑)
245,0,"""That's because you will be in jail."" Trump rocks."
246,1,I hate Hillary Clinton man. Soo much and im so glad she lost!!!
